MONTH,TYPE,CIRCLE,DIVISION,SUB_DIVISION,SAMPLE,POWEROFF_PREV,KWH_PREV,ESO_PREV,POWEROFF_CURR,KWH_CURR,ESO_CURR,PER_CHANGE
202305,1PH ,SKT,2520 - ( R ),JAUNAPUR,"7,501",17.42,"25,04,463","58,197",8.88,"20,20,337","23,765",-49.02%
202305,1PH ,SKT,2520 - ( U ),MALVIYA NAGAR,"24,691",2.30,"95,20,483","28,787",1.41,"71,34,252","13,205",-38.7%
202305,1PH ,SKT,2520 - ( U ),MIG DDA FLAT SAKET,"19,800",5.18,"78,56,589","56,207",5.48,"58,71,708","43,412",5.79%
202305,1PH ,SKT,2520 - ( U ),MMTC,"2,476",2.73,"9,62,067","3,387",2.01,"7,29,991","1,989",-26.37%
202305,1PH ,"TGN, MDK",2631,DSIDC MUNDKA,"20,271",15.79,"61,45,923","1,34,858",11.64,"48,25,841","78,209",-26.28%
202305,1PH ,"TGN, MDK",2631,SWARN PARK MUNDKA,"15,989",18.89,"46,31,137","1,16,408",13.75,"37,93,145","69,070",-27.21%
202305,1PH ,"TGN, MDK",2631,TIKRI,"4,718",39.94,"13,65,666","78,335",24.07,"12,31,739","40,090",-39.73%
202305,1PH ,"TGN, MDK",2641,24 BLK TILAK NAGAR,"23,347",4.91,"92,19,267","60,965",2.52,"69,58,702","23,586",-48.68%
202305,1PH ,"TGN, MDK",2641,A BLK TAGORE GARDEN,"25,508",2.95,"81,34,508","34,364",3.42,"63,55,903","27,883",15.93%
202305,1PH ,"TGN, MDK",2641,MUKHERJI PARK,"30,820",6.54,"1,09,29,762","98,796",4.33,"83,12,281","48,041",-33.79%
202305,1PH ,UTN,2651,BINDAPUR,"12,197",7.73,"38,34,877","40,097",3.36,"29,08,788","12,954",-56.53%
202305,1PH ,UTN,2651,CHANAKYA PLACE,"12,521",7.74,"42,99,039","44,783",5.87,"33,07,501","25,675",-24.16%
202305,1PH ,UTN,2651,MILAP NAGAR,"21,951",9.33,"79,68,938","1,03,659",3.71,"59,96,770","30,115",-60.24%
202305,1PH ,VKJ,2521 - ( R ),BIJWASAN,"7,008",13.53,"24,25,627","44,875",7.93,"19,90,328","22,313",-41.39%
202305,1PH ,VKJ,2521 - ( R ),KAPASHERA,"10,722",13.16,"38,51,714","71,165",10.90,"32,16,368","47,816",-17.17%
202305,1PH ,VKJ,2521 - ( U ),B-1 VKJ,"21,207",8.05,"75,86,457","81,741",5.44,"57,66,697","40,135",-32.42%
202305,1PH ,VKJ,2521 - ( U ),C-9 VASANT KUNJ,"8,700",4.06,"45,42,815","22,151",3.50,"33,36,088","13,816",-13.79%
202305,1PH ,VKJ,2521 - ( U ),D-4 VKJ,"6,040",11.48,"27,95,215","35,074",5.88,"21,41,642","15,125",-48.78%
202305,1PH ,VKJ,2521 - ( U ),MAHIPAL PUR,"14,786",7.18,"56,19,395","55,380",9.70,"45,70,024","61,624",35.1%
202305,1PH ,VKP,2650,C BLOCK VKP,"16,516",2.87,"75,43,861","27,495",1.91,"55,58,677","13,477",-33.45%
202305,1PH ,VKP,2650,LIG-2 HASTSAL,"14,221",5.01,"43,90,738","28,624",3.64,"33,99,261","16,995",-27.35%
202310,1PH ,UTN,2651,MILAP NAGAR,"31,211",2.82,"60,01,947","22,625",2.59,"69,56,767","24,049",-8.16%
202310,1PH ,VKJ,2521 - ( R ),BIJWASAN,"9,538",5.43,"17,64,059","13,420",6.04,"20,84,945","19,066",11.23%
202310,1PH ,VKJ,2521 - ( R ),KAPASHERA,"14,657",5.57,"30,95,026","23,235",5.22,"35,81,994","25,741",-6.28%
202310,1PH ,VKJ,2521 - ( U ),B-1 VKJ,"27,858",2.70,"48,93,885","17,731",4.38,"59,15,073","33,880",62.22%
202310,1PH ,VKJ,2521 - ( U ),C-9 VASANT KUNJ,"11,496",1.20,"28,31,219","4,159",1.99,"32,91,377","8,237",65.83%
202310,1PH ,VKJ,2521 - ( U ),D-4 VKJ,"9,605",2.14,"21,32,579","6,306",2.46,"25,48,010","8,540",14.95%
202310,1PH ,VKJ,2521 - ( U ),MAHIPAL PUR,"20,819",5.04,"41,57,112","28,535",6.26,"50,59,713","42,657",24.21%
202310,1PH ,VKP,2650,C BLOCK VKP,"22,249",1.78,"50,41,466","11,708",1.36,"57,33,051","10,403",-23.6%
202310,1PH ,VKP,2650,LIG-2 HASTSAL,"20,205",2.44,"35,04,204","11,179",3.39,"39,30,380","18,072",38.93%
202310,1PH ,VKP,2650,SHIV VIHAR,"40,838",8.77,"64,64,287","77,417",7.22,"72,41,852","71,966",-17.67%
202312,1PH ,,,,"18,58,639",4.39,"29,83,87,663","16,66,125",4.47,"29,80,60,220","17,13,735",1.82%
202312,1PH ,ALN,,,"70,765",2.83,"1,14,21,779","41,688",3.33,"1,12,12,476","45,858",17.67%
202312,1PH ,"CWL, NJF, JFP, MITRAON",,,"1,33,104",9.80,"1,94,17,094","2,50,569",9.19,"2,01,52,172","2,48,368",-6.22%
202312,1PH ,DWK,,,"1,03,906",4.02,"1,76,17,947","87,691",3.84,"1,74,62,717","83,266",-4.48%
202312,1PH ,JKP,,,"98,468",1.90,"1,79,26,780","45,157",2.38,"1,78,10,209","57,239",25.26%
202312,1PH ,"KHP, SVR, NFC",,,"3,29,711",4.57,"4,76,08,731","2,84,151",5.24,"4,75,45,547","3,25,346",14.66%
202312,1PH ,MGN,,,"84,369",6.98,"1,18,03,683","1,10,119",8.05,"1,19,51,604","1,29,968",15.33%
202312,1PH ,NGL,,,"1,07,564",4.07,"1,59,89,859","86,487",4.45,"1,61,44,558","95,678",9.34%
202312,1PH ,NHP,,,"38,251",1.85,"64,33,901","16,018",2.46,"63,05,301","20,823",32.97%
202312,1PH ,NZM,,,"62,790",2.39,"1,11,57,736","35,489",2.66,"1,11,59,280","39,783",11.3%
202312,1PH ,PJB,,,"58,023",2.46,"1,05,01,570","33,112",2.94,"1,03,40,892","38,370",19.51%
202312,1PH ,PLM,,,"1,56,683",3.30,"2,54,54,371","1,10,475",3.48,"2,50,69,170","1,14,587",5.45%
202312,1PH ,"RKP, HKS",,,"80,343",1.83,"1,47,68,704","33,530",2.40,"1,45,70,493","45,588",31.15%
202312,1PH ,SKT,,,"1,27,285",5.80,"2,31,37,327","1,72,917",4.22,"2,32,70,147","1,29,661",-27.24%
202312,1PH ,"TGN, MDK",,,"1,65,709",5.03,"2,53,43,802","1,73,343",4.11,"2,54,29,297","1,42,710",-18.29%
202312,1PH ,UTN,,,"67,971",2.62,"1,02,07,220","36,049",3.15,"1,02,20,002","43,468",20.23%
202312,1PH ,VKJ,,,"91,229",3.27,"1,75,65,347","70,945",3.64,"1,73,76,794","79,106",11.31%
202312,1PH ,VKP,,,"82,468",5.36,"1,20,31,812","78,386",4.77,"1,20,39,561","73,918",-11.01%
202312,1PH ,ALN,2510,,"70,765",2.83,"1,14,21,779","41,688",3.33,"1,12,12,476","45,858",17.67%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( CWL ),,"61,140",7.71,"87,81,070","91,192",4.68,"90,36,518","55,820",-39.3%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( NJF ),,"46,121",8.92,"69,71,639","78,762",9.20,"72,12,758","87,407",3.14%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2621 - ( JFP ),,"8,724",20.67,"11,77,341","33,241",25.55,"13,31,599","45,945",23.61%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),,"17,119",14.07,"24,87,044","47,374",16.93,"25,71,297","59,196",20.33%
202312,1PH ,DWK,2661,,"1,03,906",4.02,"1,76,17,947","87,691",3.84,"1,74,62,717","83,266",-4.48%
202312,1PH ,JKP,2610,,"98,468",1.90,"1,79,26,780","45,157",2.38,"1,78,10,209","57,239",25.26%
202312,1PH ,"KHP, SVR, NFC",2511,,"1,47,989",4.16,"2,07,95,120","1,15,281",6.19,"2,06,99,367","1,72,958",48.8%
202312,1PH ,"KHP, SVR, NFC",2541,,"1,00,837",5.09,"1,40,00,207","92,178",5.57,"1,41,73,172","1,02,199",9.43%
202312,1PH ,"KHP, SVR, NFC",2542,,"80,885",4.67,"1,28,13,404","76,693",3.09,"1,26,73,008","50,189",-33.83%
202312,1PH ,MGN,2652,,"84,369",6.98,"1,18,03,683","1,10,119",8.05,"1,19,51,604","1,29,968",15.33%
202312,1PH ,NGL,2630,,"1,07,564",4.07,"1,59,89,859","86,487",4.45,"1,61,44,558","95,678",9.34%
202312,1PH ,NHP,2530,,"38,251",1.85,"64,33,901","16,018",2.46,"63,05,301","20,823",32.97%
202312,1PH ,NZM,2540,,"62,790",2.39,"1,11,57,736","35,489",2.66,"1,11,59,280","39,783",11.3%
202312,1PH ,PJB,2640,,"58,023",2.46,"1,05,01,570","33,112",2.94,"1,03,40,892","38,370",19.51%
202312,1PH ,PLM,2660,,"1,56,683",3.30,"2,54,54,371","1,10,475",3.48,"2,50,69,170","1,14,587",5.45%
202312,1PH ,"RKP, HKS",2550,,"41,726",2.15,"68,32,142","18,189",2.62,"67,47,421","22,995",21.86%
202312,1PH ,"RKP, HKS",2551,,"38,617",1.49,"79,36,562","15,342",2.16,"78,23,072","22,593",44.97%
202312,1PH ,SKT,2520 - ( R ),,"67,061",8.84,"1,16,79,312","1,35,497",5.72,"1,18,71,983","90,570",-35.29%
202312,1PH ,SKT,2520 - ( U ),,"60,224",2.41,"1,14,58,015","37,421",2.56,"1,13,98,164","39,091",6.22%
202312,1PH ,"TGN, MDK",2631,,"58,569",8.90,"87,11,909","1,07,226",7.16,"88,13,261","87,501",-19.55%
202312,1PH ,"TGN, MDK",2641,,"1,07,140",2.92,"1,66,31,893","66,117",2.45,"1,66,16,036","55,209",-16.1%
202312,1PH ,UTN,2651,,"67,971",2.62,"1,02,07,220","36,049",3.15,"1,02,20,002","43,468",20.23%
202312,1PH ,VKJ,2521 - ( R ),,"24,261",5.37,"40,98,746","29,507",5.06,"41,15,814","28,957",-5.77%
202312,1PH ,VKJ,2521 - ( U ),,"66,968",2.51,"1,34,66,601","41,438",3.12,"1,32,60,980","50,149",24.3%
202312,1PH ,VKP,2650,,"82,468",5.36,"1,20,31,812","78,386",4.77,"1,20,39,561","73,918",-11.01%
202312,1PH ,ALN,2510,DDA FLAT KALKAJI,"26,117",1.80,"41,11,928","9,452",3.65,"40,14,038","19,369",102.78%
202312,1PH ,ALN,2510,G-BLOCK KALKAJI,"26,589",1.99,"43,37,735","10,841",2.19,"42,86,302","12,058",10.05%
202312,1PH ,ALN,2510,GK 2,"4,991",0.77,"13,16,620","1,238",1.52,"12,53,795","2,457",97.4%
202312,1PH ,ALN,2510,OKHLA PHASE 1,"13,068",7.38,"16,55,496","20,158",5.69,"16,58,341","11,973",-22.9%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( CWL ),BHARTHAL,"14,194",6.81,"21,24,744","20,104",5.01,"21,93,256","14,596",-26.43%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( CWL ),CHHAWLA,"18,808",9.64,"25,47,006","34,500",4.52,"26,28,228","16,148",-53.11%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( CWL ),SHYAM VIHAR,"28,138",6.88,"41,09,320","36,587",4.62,"42,15,034","25,076",-32.85%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( NJF ),ANAJMANDI,"9,654",16.18,"13,57,122","26,543",13.36,"14,02,137","25,087",-17.43%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( NJF ),DAULATPUR,"2,981",17.42,"4,59,702","11,077",16.04,"4,84,974","10,579",-7.92%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( NJF ),DELHI GATE,"17,853",5.99,"27,27,489","21,292",7.22,"28,24,700","26,825",20.53%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( NJF ),JHATIKRA MORE,"15,633",6.17,"24,27,326","19,851",7.58,"25,00,947","24,916",22.85%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2621 - ( JFP ),DHANSA,"2,313",23.58,"3,00,368","9,785",28.83,"3,34,864","13,024",22.26%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2621 - ( JFP ),GHUMENHERA,"2,074",22.36,"2,63,766","8,207",31.36,"2,98,048","13,053",40.25%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2621 - ( JFP ),UJAWA,"4,337",18.31,"6,13,207","15,250",21.03,"6,98,687","19,868",14.86%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),CRPF,"9,152",12.03,"13,47,322","22,146",15.83,"13,58,822","29,166",31.59%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),MITRON,"6,004",15.95,"8,70,276","18,654",15.13,"9,07,938","18,440",-5.14%
202312,1PH ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),MUNDELLA,"1,963",17.84,"2,69,446","6,575",27.57,"3,04,537","11,591",54.54%
202312,1PH ,DWK,2661,MADHU VIHAR,"32,821",3.85,"47,52,164","24,108",4.54,"47,46,799","28,934",17.92%
202312,1PH ,DWK,2661,MATIYALA,"25,923",3.35,"39,94,512","17,686",3.61,"39,84,403","19,552",7.76%
202312,1PH ,DWK,2661,"SEC 13, DWARKA","33,955",5.64,"61,19,623","42,004",4.20,"60,72,206","30,696",-25.53%
202312,1PH ,DWK,2661,"SEC 4, DWARKA","11,207",1.11,"27,51,648","3,893",1.21,"26,59,309","4,083",9.01%
202312,1PH ,JKP,2610,4/1 SUBHASH NAGAR,"27,253",2.18,"53,23,796","15,635",2.16,"53,56,402","16,396",-.92%
202312,1PH ,JKP,2610,B-32 MAYAPURI PH-1,"27,379",1.49,"44,36,662","8,278",1.65,"44,17,945","8,428",10.74%
202312,1PH ,JKP,2610,B1 COMPLAINT CENTER JANAKPURI,"20,763",1.91,"39,80,073","9,989",2.55,"39,29,599","13,683",33.51%
202312,1PH ,JKP,2610,C-3 COMPLAINT CENTER JKP,"9,095",1.89,"18,47,594","4,737",3.85,"17,98,689","9,193",103.7%
202312,1PH ,JKP,2610,D2 COMPLAINT CENTER JKP,"13,978",2.11,"23,38,655","6,518",3.06,"23,07,574","9,540",45.02%
202312,1PH ,"KHP, SVR, NFC",2511,D-BLOCK SANGAM VIHAR,"48,575",5.80,"65,10,231","50,731",8.27,"64,81,801","73,154",42.59%
202312,1PH ,"KHP, SVR, NFC",2511,DURGA VIHAR,"26,410",5.92,"37,67,181","29,600",10.10,"37,54,852","50,689",70.61%
202312,1PH ,"KHP, SVR, NFC",2511,KHANPUR,"56,191",1.97,"78,89,619","20,952",2.57,"78,38,548","27,889",30.46%
202312,1PH ,"KHP, SVR, NFC",2511,PUL PRAHLADPUR,"16,813",3.94,"26,28,089","13,998",6.12,"26,24,166","21,227",55.33%
202312,1PH ,"KHP, SVR, NFC",2541,BADARPUR,"28,367",3.12,"40,03,608","16,855",4.38,"40,34,248","24,626",40.38%
202312,1PH ,"KHP, SVR, NFC",2541,KANCHAN KUNJ,"23,914",7.11,"29,32,889","28,175",9.61,"29,71,131","38,554",35.16%
202312,1PH ,"KHP, SVR, NFC",2541,SARITA VIHAR,"15,688",5.60,"26,54,399","16,583",4.90,"26,43,076","14,669",-12.5%
202312,1PH ,"KHP, SVR, NFC",2541,SOURABH VIHAR,"32,868",5.07,"44,09,311","30,565",3.98,"45,24,717","24,350",-21.5%
202311,1PH ,"CWL, NJF, JFP, MITRAON",2621 - ( JFP ),GHUMENHERA,"2,144",13.60,"2,40,647","4,634",11.62,"2,70,333","4,303",-14.56%
202311,1PH ,"CWL, NJF, JFP, MITRAON",2621 - ( JFP ),UJAWA,"3,747",9.60,"4,49,294","5,949",13.23,"4,94,505","9,182",37.81%
202311,1PH ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),CRPF,"9,028",9.47,"11,65,523","15,638",6.08,"12,38,830","10,287",-35.8%
202311,1PH ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),MITRON,"5,908",11.39,"7,39,599","11,602",12.44,"7,87,485","13,698",9.22%
202311,1PH ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),MUNDELLA,"1,922",6.10,"2,37,388","1,928",30.13,"2,64,723","11,396",393.93%
202311,1PH ,DWK,2661,MADHU VIHAR,"32,980",4.19,"43,38,414","25,000",3.06,"45,70,594","19,367",-26.97%
202311,1PH ,DWK,2661,MATIYALA,"25,757",3.50,"36,03,189","17,115",3.83,"37,69,502","20,023",9.43%
202311,1PH ,DWK,2661,"SEC 13, DWARKA","35,224",4.32,"51,53,744","28,971",4.81,"54,79,740","34,499",11.34%
202311,1PH ,DWK,2661,"SEC 4, DWARKA","11,428",1.02,"21,47,297","2,853",1.22,"22,89,708","3,743",19.61%
202311,1PH ,JKP,2610,4/1 SUBHASH NAGAR,"27,674",1.86,"51,98,354","12,697",1.80,"54,77,018","13,965",-3.23%
202311,1PH ,JKP,2610,B-32 MAYAPURI PH-1,"27,285",2.13,"40,28,711","10,926",2.03,"41,93,192","11,881",-4.69%
202311,1PH ,JKP,2610,B1 COMPLAINT CENTER JANAKPURI,"20,474",1.77,"36,00,551","8,695",1.50,"37,93,790","8,318",-15.25%
202311,1PH ,JKP,2610,C-3 COMPLAINT CENTER JKP,"9,094",1.82,"15,93,505","4,085",1.55,"16,70,481","3,719",-14.84%
202311,1PH ,JKP,2610,D2 COMPLAINT CENTER JKP,"13,923",2.01,"20,56,247","5,501",1.99,"21,17,306","5,728",-1%
202311,1PH ,"KHP, SVR, NFC",2511,D-BLOCK SANGAM VIHAR,"48,315",5.32,"56,88,246","41,737",6.23,"59,23,003","52,516",17.11%
202311,1PH ,"KHP, SVR, NFC",2511,DURGA VIHAR,"27,497",6.60,"33,34,940","30,094",7.53,"34,66,489","35,808",14.09%
202311,1PH ,"KHP, SVR, NFC",2511,KHANPUR,"57,569",2.70,"71,44,616","26,565",2.19,"73,91,403","24,181",-18.89%
202311,1PH ,"KHP, SVR, NFC",2511,PUL PRAHLADPUR,"15,813",6.18,"21,68,967","18,575",4.32,"22,42,740","13,567",-30.1%
202311,1PH ,"KHP, SVR, NFC",2541,BADARPUR,"28,117",3.64,"36,60,008","17,978",3.29,"38,20,017","17,814",-9.62%
202311,1PH ,"KHP, SVR, NFC",2541,KANCHAN KUNJ,"23,690",6.77,"27,23,849","26,831",7.87,"28,05,783","30,230",16.25%
202311,1PH ,"KHP, SVR, NFC",2541,SARITA VIHAR,"15,855",3.68,"24,09,906","10,748",4.04,"24,65,615","11,993",9.78%
202311,1PH ,"KHP, SVR, NFC",2541,SOURABH VIHAR,"32,976",4.89,"42,39,838","29,619",4.03,"44,63,979","25,748",-17.59%
202311,1PH ,"KHP, SVR, NFC",2542,ABUL FAZAL ENCLAVE,"32,542",3.72,"46,47,448","24,903",2.55,"48,27,967","17,463",-31.45%
202311,1PH ,"KHP, SVR, NFC",2542,KALINDI COLONY,"12,799",3.18,"17,83,208","7,656",2.14,"18,09,776","5,397",-32.7%
202311,1PH ,"KHP, SVR, NFC",2542,OKHLA,"35,703",3.33,"50,85,295","22,138",2.38,"52,43,607","16,975",-28.53%
202311,1PH ,MGN,2652,ANAND VIHAR,"28,499",4.72,"36,65,425","24,675",4.79,"39,02,818","27,734",1.48%
202311,1PH ,MGN,2652,SEWAK PARK,"34,649",4.69,"46,40,044","29,797",5.14,"49,32,273","34,906",9.59%
202311,1PH ,MGN,2652,VIPIN GARDEN,"21,210",13.66,"25,76,499","49,589",14.26,"28,00,604","56,918",4.39%
202311,1PH ,NGL,2630,BAPROLLA,"43,478",2.76,"53,43,694","21,625",2.65,"56,68,489","21,880",-3.99%
202311,1PH ,NGL,2630,GH-9 PASCHIM VIHAR,"10,708",1.61,"23,72,488","5,134",1.54,"25,06,919","5,181",-4.35%
202311,1PH ,NGL,2630,NANGLOI,"46,857",4.83,"68,52,698","47,380",4.59,"70,24,657","45,162",-4.97%
202311,1PH ,NGL,2630,UDYOG NAGAR,"6,315",5.10,"8,73,630","5,801",1.52,"8,70,486","1,710",-70.2%
202311,1PH ,NHP,2530,GK 1,"7,185",1.73,"13,77,848","3,212",1.02,"14,13,092","2,163",-41.04%
202311,1PH ,NHP,2530,LAJPAT NAGAR IV,"21,739",2.23,"35,91,472","10,970",1.28,"37,10,452","6,726",-42.6%
202311,1PH ,NHP,2530,OKHLA IND AREA PH-2 & PH-3,"9,948",2.54,"10,80,712","3,818",1.07,"10,76,624","1,547",-57.87%
202311,1PH ,NZM,2540,DEFENCE COLONY,"2,634",1.35,"5,36,996",956,1.20,"5,52,555",868,-11.11%
202311,1PH ,NZM,2540,JUNG PURA,"11,866",1.93,"20,18,425","5,316",1.34,"20,44,562","3,763",-30.57%
202311,1PH ,NZM,2540,KILOKARI,"16,794",2.93,"25,16,784","10,448",1.08,"25,79,166","3,758",-63.14%
202311,1PH ,NZM,2540,LAJPAT NAGAR-2,"14,125",1.39,"25,07,867","4,618",1.50,"25,91,669","5,352",7.91%
202311,1PH ,NZM,2540,LODHI ROAD,"18,183",2.36,"27,30,515","9,124",1.42,"28,47,036","5,834",-39.83%
202311,1PH ,PJB,2640,B 3 PASCHIM VIHAR,"21,551",2.49,"40,42,633","11,324",2.00,"42,46,443","11,012",-19.68%
202311,1PH ,PJB,2640,B BLK KARAMPURA,"10,957",2.77,"17,55,877","6,876",2.93,"18,53,596","5,755",5.78%
202311,1PH ,PJB,2640,ROAD NO-41 PUNJABI BAGH,"26,000",1.83,"42,83,300","11,359",1.75,"42,73,421","10,603",-4.37%
202311,1PH ,PLM,2660,DABRI,"31,382",3.18,"44,40,554","19,392",2.71,"45,67,053","17,595",-14.78%
202311,1PH ,PLM,2660,KAILASHPURI,"48,363",3.50,"65,78,228","32,016",3.06,"68,39,474","29,953",-12.57%
202311,1PH ,PLM,2660,MANGLA PURI,"40,438",1.79,"59,23,972","14,165",1.88,"62,36,397","16,734",5.03%
202311,1PH ,PLM,2660,SEC-9 DWK,"35,354",3.94,"52,15,048","28,262",1.63,"54,31,411","12,261",-58.63%
202311,1PH ,"RKP, HKS",2550,MOTI BAGH,"6,807",1.58,"10,56,266","2,489",1.13,"10,58,270","1,875",-28.48%
202311,1PH ,"RKP, HKS",2550,R.K. PURAM,"15,831",1.22,"20,56,616","3,084",1.05,"21,05,353","2,713",-13.93%
202311,1PH ,"RKP, HKS",2550,VASANT VIHAR,"18,470",1.77,"25,12,383","5,487",1.32,"25,83,436","3,992",-25.42%
202311,1PH ,"RKP, HKS",2551,ANDREWS GANJ POLICE COLONY,"14,004",1.24,"24,15,334","3,907",1.36,"24,38,199","5,021",9.68%
202311,1PH ,"RKP, HKS",2551,GREEN PARK,"12,712",0.88,"20,66,406","2,545",0.80,"21,32,119","2,500",-9.09%
202311,1PH ,"RKP, HKS",2551,KATWARIA SARAI,"6,679",0.87,"10,27,727","1,192",1.05,"10,45,663","1,527",20.69%
202311,1PH ,"RKP, HKS",2551,RBI HAUZ KHAS,"5,879",1.83,"11,83,864","3,034",1.25,"12,15,734","2,258",-31.69%
202311,1PH ,SKT,2520 - ( R ),AAYA NAGAR,"12,933",5.66,"17,12,740","14,367",3.45,"18,31,532","9,142",-39.05%
202311,1PH ,SKT,2520 - ( R ),CHATARPUR,"30,391",5.91,"45,36,898","37,547",3.86,"48,59,787","27,234",-34.69%
202311,1PH ,SKT,2520 - ( R ),FATEHPUR BERI,"15,592",13.09,"22,87,576","39,360",10.37,"24,26,162","34,885",-20.78%
202311,1PH ,SKT,2520 - ( R ),JAUNAPUR,"11,061",4.55,"16,14,403","10,058",3.03,"17,04,360","7,076",-33.41%
202311,1PH ,SKT,2520 - ( U ),MALVIYA NAGAR,"31,425",1.83,"48,64,644","12,204",1.20,"50,56,759","8,365",-34.43%
202311,1PH ,SKT,2520 - ( U ),MIG DDA FLAT SAKET,"25,709",2.87,"41,05,691","16,558",2.55,"42,18,979","14,580",-11.15%
202311,1PH ,SKT,2520 - ( U ),MMTC,"3,156",1.82,"5,42,811","1,313",0.92,"5,25,910",731,-49.45%
202311,1PH ,"TGN, MDK",2631,DSIDC MUNDKA,"28,919",7.58,"40,24,366","44,364",4.54,"41,52,669","29,254",-40.11%
202311,1PH ,"TGN, MDK",2631,SWARN PARK MUNDKA,"21,951",5.53,"31,49,255","26,179",7.29,"31,86,175","33,732",31.83%
202311,1PH ,"TGN, MDK",2631,TIKRI,"7,055",11.24,"10,30,736","16,005",9.38,"10,39,668","14,026",-16.55%
202311,1PH ,"TGN, MDK",2641,24 BLK TILAK NAGAR,"31,082",2.81,"49,96,691","20,013",2.06,"52,03,333","14,018",-26.69%
202311,1PH ,"TGN, MDK",2641,A BLK TAGORE GARDEN,"34,477",2.70,"49,88,298","18,094",1.73,"51,75,285","12,878",-35.93%
202311,1PH ,"TGN, MDK",2641,MUKHERJI PARK,"41,634",4.27,"63,21,196","37,715",2.88,"66,02,895","27,569",-32.55%
202311,1PH ,UTN,2651,BINDAPUR,"18,449",4.09,"24,19,331","13,616",2.01,"25,38,446","7,149",-50.86%
202311,1PH ,UTN,2651,CHANAKYA PLACE,"18,141",4.94,"26,94,438","18,356",3.02,"27,75,669","11,304",-38.87%
202311,1PH ,UTN,2651,MILAP NAGAR,"31,595",2.05,"46,19,902","12,838",1.55,"48,71,023","10,543",-24.39%
202311,1PH ,VKJ,2521 - ( R ),BIJWASAN,"9,634",2.36,"13,55,842","4,422",5.01,"14,20,291","10,099",112.29%
202311,1PH ,VKJ,2521 - ( R ),KAPASHERA,"14,472",3.67,"22,16,524","10,709",3.82,"22,72,201","11,977",4.09%
202311,1PH ,VKJ,2521 - ( U ),B-1 VKJ,"27,539",2.85,"38,90,960","15,400",3.02,"41,59,686","17,264",5.96%
202311,1PH ,VKJ,2521 - ( U ),C-9 VASANT KUNJ,"11,644",1.46,"23,26,302","4,143",1.22,"24,86,470","3,826",-16.44%
202311,1PH ,VKJ,2521 - ( U ),D-4 VKJ,"9,798",3.51,"18,07,448","8,359",2.94,"19,14,438","6,863",-16.24%
202311,1PH ,VKJ,2521 - ( U ),MAHIPAL PUR,"21,022",4.49,"32,29,679","20,281",5.79,"33,56,986","27,122",28.95%
202311,1PH ,VKP,2650,C BLOCK VKP,"21,904",1.75,"37,74,002","9,212",1.48,"39,71,080","8,002",-15.43%
202311,1PH ,VKP,2650,LIG-2 HASTSAL,"20,043",3.14,"26,73,376","11,706",4.05,"27,69,742","15,340",28.98%
202311,1PH ,VKP,2650,SHIV VIHAR,"40,638",7.33,"48,96,388","49,794",6.15,"51,66,262","45,393",-16.1%
202305,1PH ,VKP,2650,SHIV VIHAR,"25,428",24.35,"68,03,247","2,29,405",15.93,"54,13,848","1,17,405",-34.58%
202306,1PH ,,,,"12,11,321",7.47,"43,25,87,370","42,38,381",5.41,"39,17,69,775","27,75,778",-27.58%
202306,1PH ,ALN,,,"50,750",2.83,"1,79,96,577","63,976",1.62,"1,63,42,995","35,451",-42.76%
202306,1PH ,"CWL, NJF, JFP, MITRAON",,,"90,513",11.12,"2,82,00,029","4,23,308",9.80,"2,56,82,034","3,44,090",-11.87%
202306,1PH ,DWK,,,"67,464",6.77,"2,51,99,835","2,15,949",5.10,"2,20,36,467","1,39,742",-24.67%
202306,1PH ,JKP,,,"62,669",4.25,"2,85,25,290","1,66,378",2.29,"2,48,81,374","77,235",-46.12%
202306,1PH ,"KHP, SVR, NFC",,,"2,16,524",7.38,"6,85,38,030","6,81,123",6.12,"6,34,29,373","5,22,229",-17.07%
202306,1PH ,MGN,,,"48,524",16.11,"1,55,54,338","3,43,849",11.33,"1,38,49,593","2,13,363",-29.67%
202306,1PH ,NGL,,,"69,698",7.34,"2,27,32,690","2,25,598",4.90,"2,09,86,741","1,41,301",-33.24%
