MONTH,TYPE,CIRCLE,DIVISION,SUB_DIVISION,SAMPLE,POWEROFF_PREV,KWH_PREV,ESO_PREV,POWEROFF_CURR,KWH_CURR,ESO_CURR,PER_CHANGE
202402,WC  ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),CRPF,142,11.58,"1,28,335","2,190",9.49,"1,29,831","1,783",-18.05%
202402,WC  ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),MITRON,316,14.81,"1,95,859","4,285",12.87,"1,83,807","3,492",-13.1%
202402,1PH ,,,,"17,53,894",4.75,"23,87,27,666","16,22,768",4.91,"27,39,43,882","18,58,975",3.37%
202402,1PH ,ALN,,,"68,119",1.78,"93,78,028","24,250",2.88,"1,08,10,072","43,048",61.8%
202402,1PH ,"CWL, NJF, JFP, MITRAON",,,"1,35,740",10.32,"1,69,08,610","2,54,904",9.73,"1,96,83,140","2,75,487",-5.72%
202402,1PH ,DWK,,,"93,199",4.51,"1,30,25,805","80,508",4.98,"1,53,86,088","1,03,303",10.42%
202402,1PH ,JKP,,,"93,568",1.79,"1,44,86,608","37,621",2.38,"1,64,46,825","55,783",32.96%
202402,1PH ,"KHP, SVR, NFC",,,"3,10,370",4.20,"3,81,70,465","2,32,213",5.53,"4,35,14,239","3,38,061",31.67%
202402,1PH ,MGN,,,"73,513",7.61,"89,14,231","1,02,017",8.45,"1,02,93,060","1,25,850",11.04%
202402,1PH ,NGL,,,"89,479",4.35,"1,11,92,773","73,526",4.66,"1,25,33,742","85,147",7.13%
202402,1PH ,NHP,,,"37,907",2.34,"55,69,301","18,170",2.68,"62,76,001","23,267",14.53%
202402,1PH ,NZM,,,"62,417",2.53,"94,90,909","34,059",2.65,"1,08,67,873","40,116",4.74%
202402,1PH ,PJB,,,"55,707",2.87,"86,81,531","34,138",4.19,"96,11,073","50,836",45.99%
202402,1PH ,PLM,,,"1,52,885",4.80,"2,08,79,974","1,47,510",3.61,"2,42,59,599","1,24,898",-24.79%
202402,1PH ,"RKP, HKS",,,"76,411",2.65,"1,12,52,032","40,313",2.15,"1,32,62,208","40,922",-18.87%
202402,1PH ,SKT,,,"1,16,834",6.45,"1,74,21,058","1,65,796",3.83,"2,06,24,976","1,14,199",-40.62%
202402,1PH ,"TGN, MDK",,,"1,59,275",4.88,"2,14,12,013","1,58,655",5.51,"2,35,64,835","1,93,643",12.91%
202402,1PH ,UTN,,,"66,937",4.22,"86,99,645","55,218",4.25,"97,34,118","61,060",.71%
202402,1PH ,VKJ,,,"85,713",4.71,"1,36,17,604","92,278",4.35,"1,63,29,800","97,444",-7.64%
202402,1PH ,VKP,,,"75,820",5.40,"96,27,079","71,594",5.90,"1,07,46,233","85,913",9.26%
202402,1PH ,ALN,2510,,"68,119",1.78,"93,78,028","24,250",2.88,"1,08,10,072","43,048",61.8%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( CWL ),,"61,388",6.83,"74,90,563","78,474",6.36,"87,65,364","80,502",-6.88%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( NJF ),,"48,417",11.60,"62,20,828","98,659",10.95,"70,85,666","1,08,589",-5.6%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2621 - ( JFP ),,"7,760",19.57,"9,18,558","27,290",19.14,"11,57,854","31,997",-2.2%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),,"18,175",14.77,"22,78,661","50,482",13.83,"26,74,256","54,399",-6.36%
202402,1PH ,DWK,2661,,"93,199",4.51,"1,30,25,805","80,508",4.98,"1,53,86,088","1,03,303",10.42%
202402,1PH ,JKP,2610,,"93,568",1.79,"1,44,86,608","37,621",2.38,"1,64,46,825","55,783",32.96%
202402,1PH ,"KHP, SVR, NFC",2511,,"1,45,144",4.11,"1,72,44,683","1,05,658",6.83,"1,97,27,941","1,95,336",66.18%
202402,1PH ,"KHP, SVR, NFC",2541,,"95,130",4.97,"1,15,04,081","80,999",5.64,"1,29,62,720","1,01,183",13.48%
202402,1PH ,"KHP, SVR, NFC",2542,,"70,096",3.34,"94,21,701","45,557",2.70,"1,08,23,578","41,543",-19.16%
202402,1PH ,MGN,2652,,"73,513",7.61,"89,14,231","1,02,017",8.45,"1,02,93,060","1,25,850",11.04%
202402,1PH ,NGL,2630,,"89,479",4.35,"1,11,92,773","73,526",4.66,"1,25,33,742","85,147",7.13%
202402,1PH ,NHP,2530,,"37,907",2.34,"55,69,301","18,170",2.68,"62,76,001","23,267",14.53%
202402,1PH ,NZM,2540,,"62,417",2.53,"94,90,909","34,059",2.65,"1,08,67,873","40,116",4.74%
202402,1PH ,PJB,2640,,"55,707",2.87,"86,81,531","34,138",4.19,"96,11,073","50,836",45.99%
202402,1PH ,PLM,2660,,"1,52,885",4.80,"2,08,79,974","1,47,510",3.61,"2,42,59,599","1,24,898",-24.79%
202402,1PH ,"RKP, HKS",2550,,"41,233",3.45,"55,04,877","25,547",2.43,"64,49,622","23,018",-29.57%
202402,1PH ,"RKP, HKS",2551,,"35,178",1.71,"57,47,155","14,765",1.83,"68,12,586","17,904",7.02%
202402,1PH ,SKT,2520 - ( R ),,"57,057",10.02,"80,88,902","1,23,390",5.58,"96,10,436","79,934",-44.31%
202402,1PH ,SKT,2520 - ( U ),,"59,777",3.04,"93,32,156","42,406",2.17,"1,10,14,540","34,265",-28.62%
202402,1PH ,"TGN, MDK",2631,,"54,379",7.70,"70,71,771","85,193",9.76,"79,62,266","1,18,986",26.75%
202402,1PH ,"TGN, MDK",2641,,"1,04,896",3.42,"1,43,40,242","73,461",3.31,"1,56,02,569","74,656",-3.22%
202402,1PH ,UTN,2651,,"66,937",4.22,"86,99,645","55,218",4.25,"97,34,118","61,060",.71%
202402,1PH ,VKJ,2521 - ( R ),,"23,085",6.02,"32,96,423","30,547",4.83,"37,89,062","26,957",-19.77%
202402,1PH ,VKJ,2521 - ( U ),,"62,628",4.23,"1,03,21,181","61,731",4.18,"1,25,40,738","70,487",-1.18%
